dataset_source,phase,type,wt_pct,wavelength_(nm),mms1,mms2,jsc_mars-1,mgs-1_prototype,temperature_(¡c),m/z_18_(h2o),m/z_32_(o2),m/z_44_(co2),m/z_64_(so2),mass_(%),diameter_(microns),%_retained,%_channel
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Plagioclase,Crystalline,27.1,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Pyroxene,Crystalline,20.3,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Olivine,Crystalline,13.7,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Magnetite,Crystalline,1.9,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Hematite,Crystalline,1.1,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Anhydrite,Crystalline,0.9,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Quartz,Crystalline,0.0,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Ilmenite,Crystalline,0.0,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Basaltic Glass,Amorphous,22.9,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Hydrated Silica (Opal),Amorphous,5.0,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Mg-sulfate,Amorphous,4.0,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Ferrihydrite,Amorphous,1.7,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Fe-carbonate,Amorphous,1.4,,,,,,,,,,,,,,
fig4_spectralData.csv,,,,479.0,0.0967859,0.0903746,0.04109,0.114771,,,,,,,,,
fig4_spectralData.csv,,,,480.0,0.0969522,0.0904672,0.0414274,0.115022,,,,,,,,,
fig4_spectralData.csv,,,,481.0,0.0971754,0.0905982,0.0417582,0.115252,,,,,,,,,
fig4_spectralData.csv,,,,482.0,0.0974032,0.0907339,0.0421293,0.115485,,,,,,,,,
fig4_spectralData.csv,,,,483.0,0.0975776,0.0908291,0.0425904,0.115756,,,,,,,,,
fig4_spectralData.csv,,,,484.0,0.0977919,0.0909286,0.0429549,0.116013,,,,,,,,,
fig4_spectralData.csv,,,,485.0,0.0980116,0.0910477,0.043324,0.116249,,,,,,,,,
fig4_spectralData.csv,,,,486.0,0.09821,0.0911837,0.0437753,0.11649,,,,,,,,,
fig4_spectralData.csv,,,,487.0,0.0984093,0.0912787,0.0442061,0.116816,,,,,,,,,
fig4_spectralData.csv,,,,488.0,0.0986356,0.09139,0.0446972,0.117155,,,,,,,,,
fig4_spectralData.csv,,,,489.0,0.0988801,0.0915229,0.0452286,0.117471,,,,,,,,,
fig4_spectralData.csv,,,,490.0,0.0991,0.0916347,0.0456833,0.11776,,,,,,,,,
fig4_spectralData.csv,,,,491.0,0.0993353,0.091753,0.0461794,0.11806,,,,,,,,,
fig4_spectralData.csv,,,,492.0,0.0995896,0.0918829,0.0467256,0.118362,,,,,,,,,
fig4_spectralData.csv,,,,493.0,0.0998551,0.0920241,0.0472914,0.11865,,,,,,,,,
fig4_spectralData.csv,,,,494.0,0.100152,0.0922045,0.0478243,0.118981,,,,,,,,,
fig4_spectralData.csv,,,,495.0,0.100426,0.0923722,0.0483863,0.119339,,,,,,,,,
fig4_spectralData.csv,,,,496.0,0.100664,0.0925018,0.0489988,0.1197,,,,,,,,,
fig4_spectralData.csv,,,,497.0,0.100946,0.0926372,0.0495524,0.120024,,,,,,,,,
fig4_spectralData.csv,,,,498.0,0.10123,0.0927915,0.0501426,0.120344,,,,,,,,,
fig4_spectralData.csv,,,,499.0,0.101492,0.0929447,0.0507814,0.120686,,,,,,,,,
